vehicle_type,service_type,vehicle_age,kilometers_driven,fuel_type,engine_type,previous_services,actual_cost
SUV,Major,7,89462,Diesel,Automatic,12,25230
Bike,General,2,10582,Petrol,Automatic,2,700
Electric Bike,Major,1,9475,EV,Automatic,1,1520
Car,Major,6,59610,Petrol,Automatic,8,12100
SUV,General,7,132952,Diesel,Manual,10,10300
Electric Bike,General,0,500,EV,Automatic,0,660
Electric Scooter,General,2,13639,EV,Automatic,3,360
Bike,General,10,81279,Petrol,Manual,16,990
Car,General,4,42162,Hybrid,Automatic,5,5940
Scooty,Major,1,9954,Petrol,Automatic,1,1100
Electric Bike,General,2,12983,EV,Automatic,3,780
Bike,Major,11,107311,Petrol,Manual,19,3730
Bike,Major,5,41592,Petrol,Manual,8,2560
Scooty,General,3,16138,Petrol,Automatic,5,610
Bike,General,9,48282,Petrol,Manual,16,820
Car,General,4,61397,Diesel,Manual,6,4750
Bike,Repair,9,57137,Petrol,Manual,12,5240
Car,General,8,107821,Petrol,Automatic,12,5480
SUV,Repair,4,71286,EV,Automatic,6,14820
SUV,Major,12,157495,Petrol,Manual,19,31820
Car,Major,12,140263,Diesel,Manual,22,18970
Bike,General,5,31755,Petrol,Automatic,9,1060
SUV,Major,6,86798,Diesel,Automatic,9,26990
Car,General,7,74860,EV,Automatic,8,3820
Electric Bike,Major,1,5514,EV,Automatic,1,1100
Bike,Repair,10,73820,Petrol,Manual,19,4460
Car,General,4,53268,Petrol,Manual,6,5200
Electric Scooter,Repair,3,14899,EV,Automatic,3,1720
Car,General,15,148434,Petrol,Automatic,29,5590
Car,Major,14,224599,Hybrid,Automatic,18,25630
Car,General,11,142632,Hybrid,Manual,19,5310
SUV,Major,8,117827,Diesel,Automatic,10,22930
Bike,General,6,46688,Petrol,Manual,8,1050
Scooty,Major,3,19517,Petrol,Automatic,5,2160
Scooty,Major,9,59015,Petrol,Automatic,14,1880
Electric Scooter,General,3,17467,EV,Automatic,5,490
SUV,Repair,8,162044,Diesel,Manual,13,31850
Car,Repair,5,59433,Diesel,Manual,7,12630
Electric Scooter,General,2,12832,EV,Automatic,2,460
Car,Repair,8,86134,Diesel,Manual,10,19210
Car,General,1,12159,Petrol,Manual,1,4600
Bike,General,10,64458,Petrol,Manual,14,840
SUV,General,7,129849,Petrol,Automatic,13,9740
Bike,General,11,107870,Petrol,Manual,14,1230
Bike,Repair,7,40087,Petrol,Manual,12,4370
Bike,General,5,42472,Petrol,Manual,8,800
SUV,Repair,6,111271,Diesel,Manual,9,37020
SUV,Repair,6,97851,Hybrid,Automatic,9,33920
Car,Repair,9,72473,Petrol,Manual,15,18370
Bike,Major,5,25419,Petrol,Manual,7,3130
Car,Repair,8,94208,Petrol,Automatic,14,21370
Car,General,8,124726,Petrol,Manual,10,5570
Electric Scooter,General,3,23814,EV,Automatic,4,490
Car,General,2,18814,Petrol,Automatic,2,4310
Bike,Repair,7,46021,Petrol,Manual,11,2240
Car,Repair,8,82042,Diesel,Manual,11,24960
SUV,General,2,25075,Petrol,Manual,2,7410
Electric Bike,General,4,27788,EV,Automatic,7,600
Bike,General,12,118648,Petrol,Manual,23,1180
SUV,General,2,30901,Hybrid,Manual,3,8050
Electric Scooter,Repair,2,13728,EV,Automatic,3,1120
Car,Major,3,49411,Petrol,Manual,4,10660
Bike,General,3,26546,Petrol,Manual,5,1060
SUV,General,0,1190,Hybrid,Automatic,0,6440
Car,General,7,59769,Petrol,Automatic,9,4980
Car,General,7,65977,Hybrid,Manual,11,6540
Car,Major,5,69851,Diesel,Manual,7,13550
Car,Major,5,62700,Petrol,Manual,7,9970
Bike,Major,3,24471,Petrol,Manual,5,2340
Scooty,General,4,32770,Petrol,Automatic,6,660
SUV,Repair,6,64100,Diesel,Manual,9,29770
Car,General,12,130378,Diesel,Automatic,15,7720
SUV,Major,1,20564,Diesel,Manual,1,22460
Car,General,7,103783,Hybrid,Manual,11,6090
Car,General,11,148019,Petrol,Manual,19,5700
Bike,General,4,26048,Petrol,Manual,4,670
Electric Scooter,General,3,15000,EV,Automatic,5,540
Car,Repair,4,35950,EV,Automatic,6,9800
Car,Major,9,89689,Diesel,Manual,14,14600
Car,General,7,97135,Diesel,Manual,13,4320
Bike,General,5,47814,Petrol,Manual,6,1010
Scooty,Repair,8,52233,Petrol,Automatic,11,1850
SUV,Major,10,185510,Petrol,Manual,16,21580
Electric Bike,Major,1,10028,EV,Automatic,1,1650
Car,Major,7,61011,Petrol,Manual,8,12080
Electric Bike,General,0,500,EV,Automatic,0,630
SUV,Major,3,41278,EV,Automatic,4,14230
Electric Scooter,General,3,15614,EV,Automatic,5,490
Car,General,4,35969,Diesel,Automatic,6,6120
Bike,Major,5,35673,Petrol,Manual,7,2900
Bike,Major,5,40517,Petrol,Manual,9,1940
Car,General,12,114613,Hybrid,Automatic,19,7500
Electric Scooter,General,2,11207,EV,Automatic,2,650
Car,Major,5,60697,Petrol,Automatic,8,13660
Electric Bike,Repair,1,9349,EV,Automatic,1,1940
Bike,General,11,108586,Petrol,Manual,16,1260
Bike,Major,2,21669,Petrol,Manual,3,3040
Car,General,10,117169,Petrol,Automatic,15,6380
Car,General,2,28571,Diesel,Automatic,3,7310
SUV,Major,5,82704,Hybrid,Automatic,7,25380
Bike,General,3,22078,Petrol,Manual,5,710
SUV,Major,4,63297,Petrol,Automatic,5,18510
SUV,General,4,67868,Petrol,Manual,5,5920
SUV,General,6,90073,Petrol,Manual,10,8110
SUV,General,6,99602,Diesel,Automatic,9,8350
SUV,Major,5,56050,Diesel,Manual,8,28260
Scooty,General,13,53985,Petrol,Automatic,22,800
Bike,General,3,16498,Petrol,Manual,5,740
Bike,Repair,4,23688,Petrol,Automatic,5,1770
Car,General,8,81994,Petrol,Automatic,15,6030
Car,Major,1,16637,Petrol,Manual,1,10100
Car,Major,10,155033,Diesel,Automatic,14,23720
SUV,Repair,5,58156,Diesel,Automatic,8,19110
Bike,General,5,42438,Petrol,Manual,6,660
Car,General,6,58614,Petrol,Manual,7,5000
Electric Bike,General,1,7978,EV,Automatic,1,560
Scooty,Major,5,40424,Petrol,Automatic,8,2490
Bike,General,2,11957,Petrol,Manual,3,610
SUV,General,7,91679,Diesel,Manual,12,11040
Car,General,5,49935,Petrol,Automatic,8,3960
SUV,General,4,66569,Diesel,Automatic,7,8990
Car,Repair,7,83390,Diesel,Manual,10,16170
Bike,Repair,4,31326,Petrol,Manual,7,3160
Car,General,5,53738,EV,Automatic,7,3020
Car,General,8,111308,Hybrid,Manual,14,4100
Electric Bike,General,1,8376,EV,Automatic,1,810
Scooty,Major,6,37337,Petrol,Automatic,10,2080
Bike,General,14,94034,Petrol,Manual,25,760
Bike,Major,4,33022,Petrol,Manual,7,2570
SUV,Repair,7,112937,Petrol,Manual,8,20960
Car,Major,13,157766,Diesel,Manual,24,18800
Car,General,2,27887,Hybrid,Manual,3,5630
SUV,Repair,9,132033,Petrol,Manual,12,31380
Scooty,General,12,89127,Petrol,Automatic,19,570
Car,General,8,94120,Petrol,Automatic,11,5430
Bike,General,12,102884,Petrol,Manual,17,680
Scooty,General,6,46792,Petrol,Automatic,7,580
Car,Major,9,90015,Diesel,Automatic,11,14490
Bike,Major,7,41419,Petrol,Manual,12,3360
Scooty,Major,5,29458,Petrol,Automatic,8,2240
Electric Scooter,General,2,13791,EV,Automatic,3,650
SUV,Major,2,37300,Diesel,Automatic,3,18330
Car,General,3,38694,Petrol,Automatic,3,5450
Scooty,General,4,22267,Petrol,Automatic,6,760
SUV,General,4,56119,Petrol,Automatic,6,8510
Car,General,4,35434,Petrol,Manual,6,4180
Car,Major,8,67480,Petrol,Automatic,15,16850
Scooty,Repair,8,44431,Petrol,Automatic,15,2310
Bike,General,3,29005,Petrol,Manual,4,690
Electric Scooter,Repair,1,8423,EV,Automatic,1,1540
SUV,General,7,126499,Diesel,Manual,11,7590
Scooty,General,1,4932,Petrol,Automatic,1,430
Bike,Major,5,37442,Petrol,Manual,9,2990
Bike,General,3,30473,Petrol,Automatic,5,1110
SUV,General,6,100470,Hybrid,Manual,9,8180
Bike,Major,5,41788,Petrol,Automatic,7,2120
Scooty,Repair,8,36853,Petrol,Automatic,11,3080
Car,General,11,175883,EV,Automatic,20,4250
Car,Repair,8,85278,Petrol,Manual,12,18920
SUV,Repair,0,2841,Diesel,Automatic,0,22460
Scooty,General,4,29250,Petrol,Automatic,5,580
Car,General,2,17031,Petrol,Manual,2,3170
SUV,Major,8,97584,EV,Automatic,15,14140
Electric Bike,Major,0,500,EV,Automatic,0,1160
SUV,Major,6,103829,Diesel,Automatic,7,31760
SUV,Major,10,144989,Diesel,Automatic,19,32580
SUV,General,0,4376,Diesel,Automatic,0,9980
SUV,General,1,12462,Hybrid,Automatic,1,8580
Scooty,General,3,20080,Petrol,Automatic,5,470
Bike,General,10,68702,Petrol,Manual,17,1070
Bike,Major,9,63916,Petrol,Manual,12,3520
Car,Major,11,99239,EV,Automatic,18,10800
Car,Major,5,75257,Petrol,Automatic,6,15740
SUV,General,7,106442,Diesel,Automatic,11,8110
SUV,Repair,8,149663,Diesel,Automatic,11,32430
Car,Major,5,54073,Diesel,Manual,9,14720
Car,General,4,44346,Diesel,Automatic,5,6060
SUV,Major,8,95588,Diesel,Automatic,14,30190
Car,Major,11,91005,Petrol,Automatic,14,18210
Scooty,Major,7,31625,Petrol,Automatic,13,1710
SUV,Major,4,49502,Diesel,Automatic,5,23540
Bike,Major,1,3707,Petrol,Manual,1,2320
SUV,Major,13,138598,Diesel,Automatic,19,33550
Scooty,General,5,30891,Petrol,Automatic,6,460
Scooty,Major,5,33853,Petrol,Automatic,8,1500
Car,General,9,92472,Petrol,Automatic,17,5560
Electric Bike,General,1,7439,EV,Automatic,1,810
Bike,Repair,0,1720,Petrol,Manual,0,1830
SUV,Repair,10,181635,Hybrid,Automatic,19,51790
Scooty,General,6,35713,Petrol,Automatic,10,570
SUV,General,6,114364,Petrol,Manual,11,5890
Car,General,9,114786,Diesel,Manual,15,5760
Car,Major,4,44220,Petrol,Manual,6,13700
Car,Major,12,185519,Diesel,Automatic,21,23210
Bike,General,6,40177,Petrol,Manual,11,920
SUV,General,13,244179,Diesel,Manual,19,11220
Bike,General,12,106163,Petrol,Manual,23,790
Car,General,4,43844,EV,Automatic,7,3190
Bike,General,0,830,Petrol,Manual,0,960
Bike,General,3,27300,Petrol,Manual,4,610
SUV,General,3,33647,EV,Automatic,4,6370
Scooty,Major,4,23295,Petrol,Automatic,7,1470
Scooty,General,10,71259,Petrol,Automatic,17,860
Bike,Major,3,24722,Petrol,Manual,4,3040
SUV,General,2,26206,Diesel,Automatic,3,9690
Car,Major,9,134064,EV,Automatic,14,10130
SUV,General,4,74091,Diesel,Automatic,6,9950
Bike,General,13,85844,Petrol,Manual,24,1170
Car,Major,9,89232,Petrol,Manual,16,12200
Car,Major,8,106695,Diesel,Manual,11,21610
Car,General,7,105912,Diesel,Automatic,13,8000
Bike,Repair,4,22114,Petrol,Manual,6,3160
Bike,Major,5,43402,Petrol,Manual,6,3530
Scooty,General,7,51400,Petrol,Automatic,10,580
SUV,General,3,35253,EV,Automatic,4,6660
SUV,Repair,6,112252,Diesel,Automatic,8,38480
Car,Repair,0,800,Hybrid,Manual,0,7630
SUV,Repair,5,55696,Diesel,Automatic,7,32610
Car,General,9,135703,Diesel,Manual,17,5270
Car,General,8,97062,Petrol,Manual,13,5530
Car,Major,2,25951,Petrol,Manual,3,10810
Car,General,8,86546,EV,Automatic,12,4810
SUV,Major,2,27794,Diesel,Automatic,2,23570
Scooty,General,3,18250,Petrol,Automatic,5,930
Bike,General,6,46894,Petrol,Manual,11,620
Car,General,13,137933,Petrol,Automatic,25,7190
Bike,General,6,55893,Petrol,Automatic,8,930
Car,Repair,4,42180,Petrol,Manual,6,9210
SUV,General,2,34869,Petrol,Automatic,2,9030
Car,Major,6,98092,Diesel,Manual,10,11550
Electric Scooter,Major,4,18602,EV,Automatic,7,1540
Car,General,6,63289,Petrol,Manual,8,5260
Car,General,2,27667,Petrol,Automatic,3,3840
Car,Major,6,73438,Petrol,Manual,9,13330
Car,Major,6,89658,Petrol,Automatic,7,15220
SUV,General,6,82095,Diesel,Manual,9,8590
Bike,General,6,38853,Petrol,Manual,11,1090
Car,Major,14,128369,Petrol,Manual,23,12300
Car,General,2,32900,Petrol,Manual,3,3670
Scooty,General,4,18661,Petrol,Automatic,7,630
SUV,General,4,55892,Diesel,Manual,6,8140
SUV,Repair,2,23668,Diesel,Manual,3,19970
SUV,General,9,130233,Petrol,Manual,14,7330
SUV,General,5,81717,Diesel,Automatic,9,9580
SUV,Repair,9,143170,Diesel,Manual,12,48470
Car,Repair,7,79410,Diesel,Automatic,8,20280
SUV,General,4,78309,Petrol,Manual,7,9130
Scooty,General,2,9194,Petrol,Automatic,3,460
Car,Repair,13,148907,Petrol,Manual,18,21860
Car,Repair,11,101991,Petrol,Manual,19,24050
Bike,General,4,32222,Petrol,Manual,5,890
Car,General,8,124650,Diesel,Manual,13,4190
Car,Repair,6,60210,Diesel,Manual,10,14490
Scooty,General,2,17530,Petrol,Automatic,2,470
Car,Major,0,1996,Diesel,Manual,0,12770
Bike,General,2,14843,Petrol,Manual,2,1100
Bike,Repair,12,112793,Petrol,Manual,19,3650
SUV,Major,9,156961,EV,Automatic,15,19540
SUV,Repair,10,159634,Diesel,Manual,18,41670
Car,Major,4,31720,Petrol,Automatic,4,10960
Car,General,14,147714,Petrol,Manual,24,6220
SUV,Major,8,156488,Diesel,Manual,14,19840
Car,Major,7,59814,Hybrid,Manual,12,14420
Car,General,6,79812,Diesel,Manual,9,5330
Car,General,3,28314,Diesel,Automatic,5,5660
SUV,Major,3,51828,Petrol,Automatic,5,15500
Car,General,8,112946,Petrol,Automatic,11,5580
SUV,General,5,60605,Diesel,Manual,9,6740
SUV,General,3,41447,Petrol,Manual,4,6110
Scooty,General,3,11880,Petrol,Automatic,5,690
Car,General,5,80495,Petrol,Manual,7,5530
Bike,General,7,43134,Petrol,Manual,9,740
Bike,General,10,86747,Petrol,Manual,12,840
Car,General,5,80623,Diesel,Manual,8,7170
Electric Scooter,General,3,19164,EV,Automatic,3,490
Car,Major,2,19023,Petrol,Automatic,3,14710
Bike,Major,10,59665,Petrol,Manual,17,2580
Car,General,3,40319,Petrol,Manual,4,4430
Scooty,General,7,42960,Petrol,Automatic,10,460
Car,General,2,30129,Petrol,Manual,2,4410
SUV,General,10,133379,Diesel,Automatic,18,8500
Car,General,5,73998,Diesel,Manual,6,4380
SUV,General,9,166026,Diesel,Manual,15,8250
SUV,Major,3,54850,Petrol,Manual,4,12870
Car,General,5,63918,Petrol,Automatic,8,4470
SUV,General,8,126289,EV,Automatic,15,6180
SUV,General,5,71767,Diesel,Manual,9,9240
Car,General,7,62491,Petrol,Manual,8,4120
Scooty,Repair,1,6366,Petrol,Automatic,1,880
Scooty,General,6,41225,Petrol,Automatic,10,620
Car,Major,10,94080,Petrol,Automatic,12,16550
Car,Repair,2,29467,Petrol,Manual,2,8110
Car,Major,5,46137,Diesel,Manual,6,15680
Car,General,2,24649,Petrol,Automatic,3,5150
Car,Major,11,117320,Petrol,Automatic,19,15330
Car,Repair,1,16829,EV,Automatic,1,9080
SUV,Major,2,22802,Diesel,Automatic,3,21870
SUV,Repair,7,121481,Diesel,Manual,13,35240
Bike,General,5,31788,Petrol,Manual,6,760
Electric Bike,Repair,2,15980,EV,Automatic,3,1500
Car,General,6,55453,Petrol,Manual,11,4280
Electric Scooter,General,1,3807,EV,Automatic,1,370
Electric Bike,General,0,500,EV,Automatic,0,750
Scooty,Major,6,29811,Petrol,Automatic,9,1700
SUV,Repair,7,140994,EV,Automatic,10,22700
Scooty,General,3,14720,Petrol,Automatic,5,900
SUV,General,4,61075,Petrol,Automatic,6,6180
SUV,General,12,188993,Petrol,Automatic,22,8200
Electric Bike,General,2,15629,EV,Automatic,3,480
Electric Scooter,Major,1,5863,EV,Automatic,1,940
Electric Scooter,General,3,18033,EV,Automatic,3,610
SUV,General,2,23757,EV,Automatic,3,4980
Bike,General,7,40542,Petrol,Automatic,13,590
SUV,General,8,128415,Petrol,Automatic,10,6680
SUV,Repair,14,220470,Diesel,Automatic,18,57840
Electric Bike,Major,2,18353,EV,Automatic,2,1860
SUV,General,12,200361,Diesel,Manual,22,8880
SUV,General,4,77137,Hybrid,Manual,5,7240
SUV,Major,4,76325,Petrol,Manual,7,16320
Car,General,12,98807,Diesel,Manual,14,7590
Bike,General,10,76170,Petrol,Manual,17,980
Car,General,3,39736,Petrol,Automatic,3,3850
Car,Repair,13,183012,EV,Automatic,19,20240
Car,Major,5,71358,Petrol,Manual,7,10020
SUV,Repair,8,130654,Diesel,Manual,14,35240
SUV,General,3,31638,Diesel,Automatic,5,6830
Bike,General,5,50440,Petrol,Manual,9,1130
Car,General,14,174158,Petrol,Manual,19,5340
Bike,Major,4,39224,Petrol,Automatic,7,2090
Car,General,8,111510,Diesel,Manual,12,6830
SUV,Major,7,96196,EV,Automatic,9,15390
Car,Major,0,4387,Diesel,Automatic,0,14080
Electric Scooter,General,3,20970,EV,Automatic,5,540
Car,Major,5,66825,Diesel,Automatic,6,18060
Scooty,Repair,5,21329,Petrol,Automatic,7,2860
Car,Repair,3,35765,Diesel,Manual,5,12900
SUV,General,10,148086,Petrol,Manual,14,10010
Electric Bike,General,3,28833,EV,Automatic,4,880
SUV,Repair,6,72358,Petrol,Manual,8,23340
SUV,Repair,8,136948,Petrol,Manual,14,21980
Bike,Major,5,33253,Petrol,Manual,7,2020
Car,General,6,94398,Hybrid,Manual,11,4830
Car,Major,1,12989,Diesel,Manual,1,14650
Electric Scooter,Major,0,1647,EV,Automatic,0,1300
Electric Scooter,Major,2,12418,EV,Automatic,3,1030
Bike,General,10,69338,Petrol,Manual,13,1220
Scooty,Major,7,50748,Petrol,Automatic,10,2230
Car,Major,3,28758,Petrol,Manual,5,12680
Car,Major,12,146244,Petrol,Manual,21,18840
SUV,Major,2,31646,Diesel,Automatic,2,25640
Car,General,9,136009,Petrol,Automatic,11,7210
Car,General,6,90316,Diesel,Automatic,10,7000
SUV,Repair,3,40354,Petrol,Automatic,5,22960
Bike,Major,7,47797,Petrol,Manual,8,2170
Car,Major,1,13207,Petrol,Automatic,1,13620
Car,General,2,29956,Petrol,Manual,2,4980
SUV,Repair,12,205315,Hybrid,Manual,16,42480
SUV,Major,10,164518,Petrol,Automatic,18,27410
Scooty,Repair,4,22348,Petrol,Automatic,5,2290
Bike,Major,8,66788,Petrol,Manual,12,3080
SUV,Repair,3,50248,Petrol,Manual,5,14260
Bike,Major,2,13610,Petrol,Manual,2,2010
Car,Repair,4,65410,Petrol,Manual,5,11730
Car,General,9,74991,Hybrid,Manual,13,4740
Bike,Major,10,92475,Petrol,Manual,12,2110
Scooty,General,3,12926,Petrol,Automatic,5,870
Bike,General,0,500,Petrol,Manual,0,1100
SUV,Major,8,95140,Diesel,Automatic,11,22770
SUV,General,3,43026,EV,Automatic,5,6350
Scooty,General,9,51631,Petrol,Automatic,12,960
Electric Bike,General,2,15219,EV,Automatic,3,740
Bike,Major,3,15516,Petrol,Manual,5,1610
Scooty,General,7,42127,Petrol,Automatic,9,720
Car,General,4,48176,Petrol,Manual,5,4740
Car,General,10,116158,Diesel,Automatic,12,6870
Car,Repair,9,114790,Petrol,Manual,17,21230
Bike,Repair,0,500,Petrol,Manual,0,1750
Car,Repair,9,113456,Diesel,Automatic,17,22000
Car,Major,3,28293,Petrol,Manual,5,10090
Car,Major,11,131126,EV,Automatic,21,13190
Scooty,General,4,21455,Petrol,Automatic,5,970
Car,General,1,12991,Petrol,Manual,1,3770
Electric Bike,General,1,7423,EV,Automatic,1,450
SUV,General,3,57384,Petrol,Automatic,5,7030
SUV,Repair,0,1000,Diesel,Automatic,0,15980
Bike,Major,4,27796,Petrol,Manual,5,2840
SUV,Major,9,107034,Petrol,Automatic,17,24030
SUV,Repair,5,68417,Diesel,Automatic,7,24730
SUV,Major,7,103732,Diesel,Automatic,13,29120
SUV,Major,3,56852,Petrol,Manual,4,22530
Scooty,Repair,4,22883,Petrol,Automatic,5,1310
Bike,General,8,50653,Petrol,Manual,11,1220
Car,General,7,111402,Petrol,Automatic,11,4510
Electric Bike,Major,4,32754,EV,Automatic,6,2260
SUV,General,3,43481,Hybrid,Manual,5,8090
Car,Major,7,97519,Petrol,Manual,10,12710
Car,General,0,4792,Diesel,Manual,0,5700
Bike,Major,2,12379,Petrol,Manual,2,2480
Scooty,General,6,37566,Petrol,Automatic,11,580
Bike,General,5,45589,Petrol,Manual,8,1180
Scooty,General,4,17389,Petrol,Automatic,5,780
Car,General,6,82761,Diesel,Automatic,10,7250
Car,Major,12,113792,EV,Automatic,22,10260
Bike,General,2,14217,Petrol,Manual,3,590
Electric Scooter,Repair,2,11192,EV,Automatic,3,1300
Car,Major,10,112007,Petrol,Manual,12,16920
SUV,Major,5,54390,Diesel,Automatic,9,26050
Car,Major,5,82847,Diesel,Automatic,9,15810
Electric Bike,General,3,16128,EV,Automatic,4,800
Bike,Major,6,36605,Petrol,Manual,10,2110
Car,General,2,16865,Diesel,Manual,2,6280
Car,Major,5,42411,Diesel,Manual,9,17410
Scooty,Major,3,18668,Petrol,Automatic,4,1170
SUV,General,11,146954,Petrol,Automatic,19,9300
SUV,Major,12,214239,Petrol,Automatic,20,28090
Bike,General,5,30001,Petrol,Manual,6,810
Electric Scooter,Repair,2,10814,EV,Automatic,2,1870
SUV,General,7,70573,Diesel,Automatic,8,7330
Bike,General,5,29372,Petrol,Manual,8,1150
Electric Bike,General,3,24899,EV,Automatic,4,760
SUV,General,4,78396,EV,Automatic,7,5220
Car,General,6,76481,Petrol,Automatic,11,6620
Car,General,3,46530,Diesel,Automatic,5,4600
Electric Scooter,General,2,10211,EV,Automatic,3,480
Car,General,7,59150,Petrol,Automatic,13,4420
Car,Major,2,31100,Petrol,Manual,3,8990
Car,General,5,62448,Petrol,Manual,6,3480
Car,Major,4,38910,Diesel,Manual,5,11270
Car,General,10,106089,Petrol,Automatic,12,7130
SUV,Major,0,1000,Petrol,Manual,0,17040
Car,Major,8,72390,Diesel,Manual,14,16440
Bike,General,4,27616,Petrol,Manual,5,900
SUV,Major,5,88549,Diesel,Manual,6,18020
Car,General,9,107619,Petrol,Manual,13,5530
SUV,General,6,93701,Petrol,Automatic,9,7760
Car,General,1,13350,Petrol,Automatic,1,5080
Scooty,General,13,97848,Petrol,Automatic,20,1070
SUV,Major,10,103760,EV,Automatic,18,20950
Bike,Repair,1,10604,Petrol,Automatic,1,2230
Bike,Repair,5,37777,Petrol,Manual,7,2150
Car,General,13,149857,Diesel,Manual,18,7130
Car,Repair,3,45826,Diesel,Automatic,5,16130
Bike,General,11,84795,Petrol,Manual,15,850
Scooty,General,4,27701,Petrol,Automatic,5,870
Car,General,3,37017,Petrol,Manual,5,3320
Bike,General,6,40116,Petrol,Manual,11,850
Car,General,5,68036,Petrol,Automatic,8,4640
Bike,General,3,23098,Petrol,Manual,5,640
Electric Scooter,Repair,3,15140,EV,Automatic,4,1980
Electric Bike,Repair,1,5359,EV,Automatic,1,1390
Car,General,8,69650,Diesel,Manual,10,4490
SUV,General,11,196138,Petrol,Automatic,14,8370
Electric Bike,Major,2,14929,EV,Automatic,3,1580
Bike,Repair,4,21950,Petrol,Automatic,5,2260
Car,General,6,49637,EV,Automatic,11,2970
Bike,Repair,6,45335,Petrol,Manual,7,2460
Car,General,13,192202,Diesel,Manual,20,4910
Car,Repair,4,57898,EV,Automatic,7,9030
Electric Scooter,General,1,9322,EV,Automatic,1,450
Electric Scooter,Repair,1,3897,EV,Automatic,1,1180
Electric Scooter,General,2,10235,EV,Automatic,3,730
Car,Repair,10,162838,Diesel,Manual,19,20740
Car,General,6,55882,Petrol,Manual,10,5350
SUV,General,1,19134,Diesel,Manual,1,6930
Bike,Major,2,20746,Petrol,Manual,3,2120
SUV,Major,9,173794,Diesel,Manual,15,32530
Scooty,General,6,30540,Petrol,Automatic,11,720
SUV,General,2,35730,Diesel,Manual,3,9400
Scooty,General,1,6032,Petrol,Automatic,1,460
Car,Major,10,92498,Petrol,Automatic,15,15700
Electric Scooter,Major,1,4982,EV,Automatic,1,1450
Scooty,Major,4,18409,Petrol,Automatic,7,1930
Electric Scooter,General,1,5400,EV,Automatic,1,630
Car,General,5,44736,Petrol,Manual,7,4480
SUV,Repair,8,152593,Petrol,Manual,12,27170
SUV,General,7,91879,Diesel,Manual,9,6930
Bike,General,5,39559,Petrol,Manual,8,660
Car,General,3,36570,Hybrid,Manual,5,3650
Car,Repair,6,81793,EV,Automatic,10,13710
Car,Major,6,60854,Petrol,Automatic,11,13440
Car,General,3,31287,EV,Automatic,4,3250
Bike,Major,2,14587,Petrol,Manual,3,2230
Bike,General,9,88840,Petrol,Manual,14,690
Car,Major,5,43985,Petrol,Automatic,7,13750
SUV,General,2,34485,EV,Automatic,3,5250
Bike,General,3,21479,Petrol,Manual,5,700
Car,General,10,115728,Diesel,Manual,15,6690
Car,General,5,56734,EV,Automatic,6,3210
Scooty,General,1,6837,Petrol,Automatic,1,520
SUV,Major,2,23274,Petrol,Manual,2,15800
Scooty,Major,2,7207,Petrol,Automatic,2,1610
SUV,General,2,36314,Petrol,Manual,2,6870
SUV,Major,6,93693,Petrol,Manual,10,16640
SUV,Repair,8,112560,Petrol,Automatic,12,30250
Scooty,General,2,17910,Petrol,Automatic,2,520
SUV,General,5,73471,Diesel,Manual,9,7550
SUV,General,6,64558,Diesel,Automatic,7,10260
SUV,General,2,33938,Diesel,Automatic,2,10660
Scooty,General,8,52147,Petrol,Automatic,14,860
Car,General,3,37685,Petrol,Manual,5,3480
Scooty,General,6,38796,Petrol,Automatic,9,560
Electric Scooter,General,2,14488,EV,Automatic,2,410
SUV,Major,8,95260,Petrol,Automatic,10,21080
Car,Repair,0,2348,Petrol,Manual,0,7240
Car,Major,6,48376,Diesel,Manual,8,15340
Car,General,0,800,Petrol,Manual,0,4590
Car,Repair,4,47740,Hybrid,Manual,5,11250
Car,General,9,122243,Diesel,Automatic,15,7710
Scooty,General,3,15704,Petrol,Automatic,5,620
SUV,Repair,12,124580,Diesel,Automatic,22,49540
Electric Bike,Repair,0,500,EV,Automatic,0,1310
Scooty,General,8,49079,Petrol,Automatic,11,940
SUV,Repair,7,96092,Diesel,Automatic,9,27990
Bike,Repair,13,71253,Petrol,Manual,19,4120
Car,Repair,4,44058,Diesel,Manual,5,13930
SUV,General,8,146948,Diesel,Automatic,13,8580
Scooty,General,6,30981,Petrol,Automatic,10,770
Bike,General,3,19518,Petrol,Manual,4,810
Electric Scooter,Repair,3,21039,EV,Automatic,4,2170
SUV,General,4,42856,EV,Automatic,7,4840
Car,Major,10,127789,Petrol,Automatic,18,18650
SUV,General,3,62186,Diesel,Manual,4,7430
Car,General,6,62673,Diesel,Manual,11,6850
Bike,Major,1,10677,Petrol,Manual,1,2740
Bike,Major,5,31271,Petrol,Manual,6,1760
Car,General,6,78312,Diesel,Automatic,10,6570
SUV,Major,7,77868,Petrol,Manual,8,24970
Car,General,2,25867,Petrol,Automatic,2,4780
Electric Bike,General,2,14428,EV,Automatic,3,670
Car,Repair,4,56877,Diesel,Automatic,5,21360
Car,Major,5,62766,Diesel,Automatic,7,13940
Electric Scooter,Major,3,23049,EV,Automatic,3,1860
Bike,Repair,1,10865,Petrol,Manual,1,2120
Bike,General,1,5320,Petrol,Manual,1,930
SUV,Repair,5,54727,Petrol,Automatic,8,26300
Scooty,Major,10,75749,Petrol,Automatic,19,2260
Car,Major,10,119742,Diesel,Automatic,15,20420
SUV,Major,9,174207,Diesel,Automatic,16,28170
Bike,General,12,87281,Petrol,Manual,16,720
Car,General,3,40727,Diesel,Manual,4,4550
